patch,freq_start,freq_end,time_start,time_end,importance
0,8,16,36,48,0.035352280149495104
2,0,8,12,24,0.033419266620646565
3,56,64,84,96,0.03121797803090999
4,48,56,0,12,0.02969591167648075
0,56,64,60,72,0.02936856496185475
2,40,48,60,72,0.0268455484444602
0,8,16,72,84,0.026474178678967793
1,56,64,72,84,0.02589840901360041
4,8,16,72,84,0.024379381942753207
2,32,40,0,12,0.024238153263460502
3,8,16,84,96,0.022402859861628835
4,56,64,72,84,0.0219700385489978
3,24,32,48,60,0.020576031864959026
4,56,64,24,36,0.020398652681413578
3,16,24,24,36,0.020103129369487358
3,0,8,36,48,0.02006790774615743
3,16,24,60,72,0.019848090298801732
2,32,40,36,48,0.019659958765718157
4,24,32,60,72,0.01899050706305743
3,0,8,12,24,0.01867452095943669
1,16,24,60,72,0.018235812380609596
0,16,24,12,24,0.01816355797781709
1,40,48,72,84,0.018056283661400347
4,40,48,60,72,0.01793438672804244
2,40,48,12,24,0.017700694646174596
2,16,24,84,96,0.01765801213123138
3,8,16,24,36,0.016528288235908583
2,40,48,72,84,0.016398275233224423
2,56,64,84,96,0.015828664272099932
4,0,8,60,72,0.015756724408741294
1,24,32,60,72,0.015505331789837947
3,8,16,0,12,0.015437832253750687
1,8,16,60,72,0.015293942511874053
0,56,64,12,24,0.01515725019576835
0,40,48,48,60,0.014772532826328937
2,16,24,72,84,0.014732680139714894
1,48,56,12,24,0.014721399512800142
1,32,40,60,72,0.01454465496807442
4,32,40,12,24,0.014490565897262027
0,32,40,84,96,0.01440056876354644
1,0,8,72,84,0.014062076786766114
4,16,24,48,60,0.013741752688208632
4,24,32,48,60,0.013513365029204768
4,48,56,12,24,0.013444497768786133
4,0,8,84,96,0.013051800514576148
0,48,56,24,36,0.012964859984512793
3,0,8,60,72,0.012882159397187863
1,16,24,0,12,0.012417632602788992
4,8,16,0,12,0.012351286124984217
1,32,40,48,60,0.012259735667263648
